Category,sub-category,Type,Fit,Material,Pattern,Season,Style,Occasion,Body Type Suitability,Neckline,Apparel
1,0,98,34,7,38,2,7,1,4,47,0
1,7,18,11,7,38,1,7,12,8,46,1
1,9,33,11,7,38,1,7,6,8,46,1
1,9,84,17,36,38,1,4,19,12,46,1
1,13,129,34,7,38,2,7,12,4,34,3
1,13,122,14,32,38,2,3,12,4,12,1
1,13,120,34,27,38,0,3,18,4,50,3
0,15,134,33,32,38,2,7,5,11,47,3
0,15,53,39,19,38,2,7,3,11,14,3
0,15,93,33,30,38,2,30,3,11,29,3
0,15,96,33,32,38,2,7,5,11,8,3
0,15,102,33,24,38,2,7,5,11,34,3
0,10,41,39,19,38,2,18,2,1,26,3
0,10,21,33,12,6,2,7,3,11,38,3
0,10,93,33,32,38,2,7,24,1,28,3
0,10,52,39,16,38,2,7,5,11,14,3
0,10,50,34,7,13,2,7,1,11,38,3
0,11,20,33,46,38,2,7,5,11,46,1
0,11,99,14,41,38,2,31,21,1,46,1
0,3,64,33,19,38,2,34,8,11,32,3
0,3,64,33,40,38,2,34,8,11,32,3
0,3,106,14,1,12,3,18,30,6,41,0
0,3,106,14,48,12,3,18,30,6,41,0
0,3,87,34,19,38,2,34,8,1,6,0
0,3,87,34,40,38,2,34,8,1,6,0
0,3,78,14,7,38,2,13,8,11,20,2
0,3,78,14,21,38,2,13,8,11,20,2
0,3,58,43,15,12,2,20,30,6,47,3
0,14,110,39,32,38,2,18,2,11,22,0
0,14,110,39,7,38,2,18,2,11,22,0
0,14,39,39,32,38,0,18,23,2,25,0
0,14,39,39,7,38,0,18,23,2,25,0
0,14,133,39,37,38,3,18,23,11,36,0
0,14,38,39,38,38,3,18,23,11,36,2
0,14,9,39,19,38,1,7,3,11,22,2
0,14,9,39,50,38,1,7,3,11,22,2
0,4,13,33,27,38,0,7,5,11,32,2
0,4,86,34,32,38,3,7,3,11,18,2
0,4,88,33,32,38,3,9,9,1,23,2
0,4,131,39,32,38,0,9,9,1,23,2
0,4,80,34,2,38,3,9,9,1,23,2
0,4,95,33,32,34,0,7,17,1,16,2
0,4,49,39,32,38,0,7,5,1,6,2
0,4,138,33,32,38,1,7,17,1,18,2
0,13,5,33,41,38,2,7,12,11,8,3
0,13,27,45,41,38,2,31,12,1,12,1
0,13,142,39,41,38,2,7,33,5,11,1
1,16,129,14,24,38,2,7,5,4,34,3
1,16,132,26,5,13,1,4,3,4,47,3
1,16,29,14,41,38,2,35,3,4,32,3
1,16,92,14,17,13,1,17,3,4,3,3
1,16,79,34,7,39,2,5,3,4,24,3
1,16,141,1,38,38,1,15,9,4,48,3
1,16,10,43,37,33,2,9,31,4,5,3
1,16,17,26,38,21,2,19,3,4,37,3
1,16,51,34,19,39,2,7,5,4,14,3
1,16,82,29,16,38,2,32,3,4,32,3
1,2,1,16,32,38,1,7,6,4,33,0
1,2,1,16,38,38,1,7,6,4,33,0
1,2,107,26,5,38,1,7,6,4,32,0
1,2,107,26,9,38,1,7,6,4,32,0
1,2,139,1,36,38,2,7,6,4,47,0
1,2,139,1,38,38,2,7,6,4,47,0
1,2,105,14,32,38,0,18,16,4,3,0
1,2,105,14,7,38,0,18,16,4,3,0
1,2,73,20,37,38,1,7,1,12,47,0
1,2,73,20,16,38,1,7,1,12,47,0
1,2,12,44,27,38,2,22,15,4,40,0
1,2,12,44,32,38,2,22,15,4,40,0
1,2,109,34,7,39,1,7,6,4,6,0
1,2,109,34,19,39,1,7,6,4,6,0
1,2,90,16,15,38,2,18,19,4,44,0
1,2,90,16,25,38,2,18,19,4,44,0
1,2,61,28,49,38,2,7,19,4,47,0
1,2,61,28,19,38,2,7,19,4,47,0
1,3,101,12,7,29,2,34,30,4,47,0
1,3,101,12,14,29,2,34,30,4,47,0
1,3,101,12,5,29,2,34,30,4,47,0
1,3,100,36,38,12,2,34,3,4,47,0
1,3,100,36,14,12,2,34,3,4,47,0
1,3,100,36,4,12,2,34,3,4,47,0
1,3,68,36,47,12,2,34,30,4,44,0
1,3,68,36,26,12,2,34,30,4,44,0
1,3,68,36,14,12,2,34,30,4,44,0
1,3,3,36,38,12,2,34,19,7,47,0
1,3,3,36,26,12,2,34,19,7,47,0
1,3,3,36,47,12,2,34,19,7,47,0
1,3,85,32,38,33,2,13,3,4,47,0
1,3,85,32,14,33,2,13,3,4,47,0
1,3,85,32,4,33,2,13,3,4,47,0
1,3,104,36,14,12,2,34,30,7,47,0
1,3,104,36,5,12,2,34,30,7,47,0
1,17,129,39,32,38,2,7,1,8,34,3
1,17,10,33,5,38,2,7,31,4,47,3
1,17,40,39,32,38,2,7,19,4,47,0
1,17,113,0,7,38,2,7,31,7,15,1
1,17,113,0,32,38,2,7,31,7,15,1
1,17,67,37,32,38,2,7,12,4,12,1
1,0,61,39,19,38,2,7,19,4,47,0
1,0,98,39,32,38,2,7,1,4,47,0
1,0,25,43,32,38,2,9,31,4,23,2
1,0,25,43,7,38,2,9,31,4,23,2
1,0,25,43,0,38,2,9,31,4,23,2
1,0,42,14,32,38,1,7,31,4,23,2
1,0,42,14,43,38,1,7,31,4,23,2
1,0,81,34,45,38,0,7,3,4,23,2
1,0,81,34,6,38,0,7,3,4,23,2
1,0,15,34,19,38,1,7,3,9,23,2
1,0,15,34,32,38,1,7,3,9,23,2
1,0,30,11,47,38,1,35,19,4,23,2
1,0,30,11,15,38,1,35,19,4,23,2
1,0,71,25,7,38,0,18,9,9,23,2
1,0,71,25,0,38,0,18,9,9,23,2
1,0,91,14,32,38,1,17,19,4,32,2
1,0,91,14,0,38,1,17,19,4,32,2
1,0,13,34,32,38,0,7,3,4,32,2
1,0,13,34,37,38,0,7,3,4,32,2
1,0,77,14,44,38,0,14,3,4,23,2
1,0,77,14,29,38,0,14,3,4,23,2
1,5,112,38,8,38,2,7,5,4,46,1
1,5,114,39,8,38,2,7,5,4,46,1
1,5,125,40,8,38,2,7,5,4,46,1
1,5,14,5,8,38,2,7,5,4,46,1
1,5,16,34,8,38,2,7,5,4,46,1
1,5,44,17,8,38,2,4,3,4,46,1
1,5,55,23,8,38,2,27,5,4,46,1
1,5,72,27,8,38,2,7,5,4,46,1
1,7,6,39,41,38,2,7,12,4,46,1
1,7,6,39,28,38,2,7,12,4,46,1
1,7,94,39,34,13,2,7,3,4,46,1
1,7,57,39,28,38,2,7,12,4,46,1
1,7,18,39,42,38,1,7,12,8,46,1
1,7,75,39,23,38,2,35,12,4,46,1
1,7,66,39,34,38,0,8,19,4,46,1
1,7,103,39,42,38,2,12,12,4,46,1
1,9,115,39,32,38,2,7,31,4,46,1
1,9,126,40,41,38,2,7,5,4,46,1
1,9,45,17,32,38,1,4,19,4,46,1
1,9,136,51,36,38,1,7,31,4,46,1
1,9,33,51,32,38,1,7,6,8,46,1
1,9,84,51,39,38,1,4,19,12,46,1
1,12,2,47,50,38,2,7,6,4,46,1
1,12,2,47,10,38,2,7,6,4,46,1
1,12,2,47,39,38,2,7,6,4,46,1
1,12,89,15,32,38,2,18,31,4,46,1
1,12,89,15,51,38,2,18,31,4,46,1
1,12,47,49,5,38,1,7,6,4,46,1
1,12,47,49,39,38,1,7,6,4,46,1
1,12,76,50,19,38,1,7,6,4,46,1
1,12,76,50,34,38,1,7,6,4,46,1
1,12,74,48,5,38,1,4,19,4,46,1
1,12,74,48,39,38,1,4,19,4,46,1
1,12,111,49,32,38,2,7,6,4,46,1
1,12,111,49,42,38,2,7,6,4,46,1
1,12,140,2,19,38,2,7,6,4,46,1
1,12,140,2,36,38,2,7,6,4,46,1
1,8,126,40,7,38,1,7,3,4,46,1
1,8,126,40,32,38,1,7,3,4,46,1
1,8,135,51,19,38,1,4,1,12,46,1
1,8,135,51,39,38,1,4,1,12,46,1
1,8,46,17,5,38,1,15,19,12,46,1
1,8,46,17,14,38,1,15,19,12,46,1
1,8,54,40,34,38,2,18,9,4,46,1
1,1,26,39,32,38,1,7,3,4,46,1
1,1,26,39,42,38,1,7,3,4,46,1
1,1,32,40,19,38,1,7,31,4,46,1
1,1,32,40,36,38,1,7,31,4,46,1
1,1,56,39,32,38,1,7,3,4,46,1
1,1,137,51,7,38,1,7,1,12,46,1
1,1,137,51,34,38,1,7,1,12,46,1
1,1,35,39,8,38,1,7,3,4,46,1
1,1,31,51,32,38,1,7,6,8,46,1
1,1,31,51,20,38,1,7,6,8,46,1
1,13,117,44,41,38,2,3,12,4,34,3
1,13,129,26,32,38,2,7,12,4,34,3
1,13,129,26,27,38,2,7,12,4,34,3
1,13,124,35,31,38,2,7,12,4,8,1
1,13,121,10,41,38,2,3,12,4,15,1
1,13,121,10,32,38,2,3,12,4,15,1
1,13,122,26,22,38,2,3,12,4,12,1
1,13,120,14,32,38,0,3,18,4,50,3
1,13,120,14,13,38,0,3,18,4,50,3
1,13,119,34,32,38,0,3,12,4,18,3
1,13,119,34,13,38,0,3,12,4,18,3
1,13,123,14,41,38,2,3,27,4,12,1
1,13,118,14,41,38,2,3,27,4,31,0
0,14,110,33,32,38,2,18,2,11,22,0
0,14,110,33,7,38,2,18,2,11,22,0
0,14,110,9,32,38,2,18,2,11,22,0
0,14,110,9,7,38,2,18,2,11,22,0
0,14,39,33,32,38,0,18,23,2,25,0
0,14,39,33,7,38,0,18,23,2,25,0
0,14,39,9,32,38,0,18,23,2,25,0
0,14,39,9,7,38,0,18,23,2,25,0
0,14,133,33,37,38,3,18,23,11,36,0
0,14,133,9,37,38,3,18,23,11,36,0
0,14,38,33,38,38,3,18,23,11,36,2
0,14,38,9,38,38,3,18,23,11,36,2
0,14,9,33,19,38,1,7,3,11,22,2
0,14,9,33,50,38,1,7,3,11,22,2
0,14,9,9,19,38,1,7,3,11,22,2
0,14,9,9,50,38,1,7,3,11,22,2
0,4,131,33,32,38,0,9,9,1,23,2
0,4,49,33,32,38,0,7,5,1,6,2
1,2,1,18,32,38,1,7,6,4,33,0
1,2,1,18,38,38,1,7,6,4,33,0
1,2,107,41,5,38,1,7,6,4,32,0
1,2,107,41,9,38,1,7,6,4,32,0
1,2,139,8,36,38,2,7,6,4,47,0
1,2,139,8,38,38,2,7,6,4,47,0
1,2,105,3,32,38,0,18,16,4,3,0
1,2,105,3,7,38,0,18,16,4,3,0
1,2,73,24,37,38,1,7,1,12,47,0
1,2,73,24,16,38,1,7,1,12,47,0
1,2,12,42,27,38,2,22,15,4,40,0
1,2,12,42,32,38,2,22,15,4,40,0
1,2,109,7,7,39,1,7,6,4,6,0
1,2,109,7,19,39,1,7,6,4,6,0
1,2,90,19,15,38,2,18,19,4,44,0
1,2,90,19,25,38,2,18,19,4,44,0
1,2,61,30,49,38,2,7,19,4,47,0
1,2,61,30,19,38,2,7,19,4,47,0
1,3,100,46,38,12,2,34,3,4,47,0
1,3,100,46,14,12,2,34,3,4,47,0
1,3,100,46,4,12,2,34,3,4,47,0
1,17,10,39,5,38,2,7,31,4,47,3
1,17,40,13,32,38,2,7,19,4,47,0
1,17,113,31,7,38,2,7,31,7,15,1
1,17,113,31,32,38,2,7,31,7,15,1
1,17,67,22,32,38,2,7,12,4,12,1
1,0,61,34,19,38,2,7,19,4,47,0
1,0,98,34,32,38,2,7,1,4,47,0
1,7,18,11,42,38,1,7,12,8,46,1
1,9,33,11,32,38,1,7,6,8,46,1
1,9,84,17,39,38,1,4,19,12,46,1
1,13,129,34,32,38,2,7,12,4,34,3
1,13,129,34,27,38,2,7,12,4,34,3
1,13,122,14,22,38,2,3,12,4,12,1
1,13,120,34,32,38,0,3,18,4,50,3
1,13,120,34,13,38,0,3,18,4,50,3
0,15,28,33,7,39,2,7,5,11,8,3
0,15,28,33,7,32,2,7,5,11,8,3
0,15,134,33,7,16,2,7,5,11,47,3
0,15,134,33,7,32,2,7,5,11,47,3
0,15,53,39,7,39,2,7,3,11,14,3
0,15,93,33,7,39,2,30,3,11,29,3
0,15,93,33,7,32,2,30,3,11,29,3
0,15,96,33,7,9,2,7,5,11,8,3
0,15,102,33,7,15,2,7,5,11,34,3
0,10,41,39,7,39,2,18,2,1,26,3
0,10,21,33,7,32,2,7,3,11,38,3
0,10,93,33,7,39,2,7,24,1,28,3
0,10,52,39,7,39,2,7,5,11,14,3
0,10,83,39,7,5,2,7,31,1,4,3
0,10,22,39,3,10,2,7,3,1,38,3
0,10,50,34,36,43,2,7,1,11,38,3
0,10,69,33,19,39,2,7,26,11,26,3
0,11,20,33,7,3,2,7,5,11,46,1
0,11,37,33,10,11,1,7,3,1,46,1
0,11,11,26,33,39,2,7,1,1,46,1
0,11,8,26,7,28,2,7,3,1,46,1
0,11,99,14,27,35,2,31,21,1,46,1
0,11,0,33,7,39,2,7,3,11,46,1
0,3,64,33,7,33,2,34,8,11,32,3
0,3,64,33,7,12,2,34,8,11,32,3
0,3,106,14,38,20,3,18,30,6,41,0
0,3,106,14,38,33,3,18,30,6,41,0
0,3,87,34,7,39,2,34,8,1,6,0
0,3,87,34,7,12,2,34,8,1,6,0
0,3,78,14,38,33,2,13,8,11,20,2
0,3,78,14,38,12,2,13,8,11,20,2
0,3,58,43,38,33,2,20,30,6,47,3
0,3,58,43,38,38,2,20,30,6,47,3
0,14,110,39,50,39,2,18,2,11,22,0
0,14,110,39,50,5,2,18,2,11,22,0
0,14,110,39,50,18,2,18,2,11,22,0
0,14,39,39,50,27,0,18,23,2,25,0
0,14,38,39,47,26,3,18,23,11,36,2
0,14,9,39,7,5,1,7,3,11,22,2
0,14,9,39,7,19,1,7,3,11,22,2
0,4,13,33,18,32,0,7,5,11,32,2
0,4,49,39,7,4,0,7,5,1,6,2
0,13,5,33,32,39,2,7,12,11,8,3
0,13,130,34,32,7,0,7,18,11,16,3
0,13,99,33,32,33,1,7,21,1,12,1
0,13,27,45,27,33,2,31,12,1,12,1
0,13,7,26,22,40,2,31,0,1,47,3
0,13,116,39,32,40,2,31,22,1,47,1
0,13,34,21,32,15,1,31,4,1,49,1
1,16,129,14,7,39,2,7,5,4,34,3
1,16,132,26,36,25,1,4,3,4,47,3
1,16,29,14,7,15,2,35,3,4,32,3
1,16,92,14,32,31,1,17,3,4,3,3
1,16,79,34,19,38,2,5,3,4,24,3
1,16,141,1,16,13,1,15,9,4,48,3
1,16,10,43,38,12,2,9,31,4,5,3
1,16,17,26,37,38,2,19,3,4,37,3
1,16,51,34,7,38,2,7,5,4,14,3
1,16,82,29,7,15,2,32,3,4,32,3
1,16,82,29,7,23,2,32,3,4,32,3
1,2,1,16,7,13,1,7,6,4,33,0
1,2,1,16,7,39,1,7,6,4,33,0
1,2,107,26,19,14,1,7,6,4,32,0
1,2,107,26,19,0,1,7,6,4,32,0
1,2,139,1,16,13,2,7,6,4,47,0
1,2,139,1,16,31,2,7,6,4,47,0
1,2,105,14,50,19,0,18,16,4,3,0
1,2,105,14,50,27,0,18,16,4,3,0
1,2,73,20,5,13,1,7,1,12,47,0
1,2,73,20,5,42,1,7,1,12,47,0
1,2,12,44,41,36,2,22,15,4,40,0
1,2,12,44,41,1,2,22,15,4,40,0
1,2,109,34,10,28,1,7,6,4,6,0
1,2,109,34,10,38,1,7,6,4,6,0
1,2,90,16,35,13,2,18,19,4,44,0
1,2,90,16,35,21,2,18,19,4,44,0
1,2,61,28,32,39,2,7,19,4,47,0
1,2,61,28,32,13,2,7,19,4,47,0
1,3,101,12,38,33,2,34,30,4,47,0
1,3,100,36,7,33,2,34,3,4,47,0
1,3,68,36,38,37,2,34,30,4,44,0
1,3,68,36,38,44,2,34,30,4,44,0
1,3,3,36,14,13,2,34,19,7,47,0
1,3,3,36,14,37,2,34,19,7,47,0
1,3,85,32,7,12,2,13,3,4,47,0
1,3,104,36,38,37,2,34,30,7,47,0
1,17,128,33,7,39,2,7,5,4,8,3
1,17,129,39,7,33,2,7,1,8,34,3
1,17,10,33,38,13,2,7,31,4,47,3
1,17,108,33,7,38,2,7,31,4,5,3
1,17,40,39,7,13,2,7,19,4,47,0
1,17,40,39,7,39,2,7,19,4,47,0
1,17,113,0,10,33,2,7,31,7,15,1
1,17,59,37,10,11,2,7,5,4,21,1
1,17,67,37,41,33,2,7,12,4,12,1
1,0,61,39,7,39,2,7,19,4,47,0
1,0,61,39,7,13,2,7,19,4,47,0
1,0,98,39,7,13,2,7,1,4,47,0
1,0,98,39,7,33,2,7,1,4,47,0
1,0,25,43,50,27,2,9,31,4,23,2
1,0,42,14,7,41,1,7,31,4,23,2
1,0,81,34,50,28,0,7,3,4,23,2
1,0,15,34,7,39,1,7,3,9,23,2
1,0,30,11,32,13,1,35,19,4,23,2
1,0,71,25,50,6,0,18,9,9,23,2
1,0,91,14,7,41,1,17,19,4,32,2
1,0,13,34,27,13,0,7,3,4,32,2
1,0,77,14,18,34,0,14,3,4,23,2
1,0,36,34,10,11,2,7,3,4,27,2
1,5,112,38,10,11,2,7,5,4,46,1
1,5,114,39,10,11,2,7,5,4,46,1
1,5,125,40,10,11,2,7,5,4,46,1
1,5,14,5,10,11,2,7,5,4,46,1
1,5,16,34,10,11,2,7,5,4,46,1
1,5,55,23,10,11,2,27,5,4,46,1
1,5,72,27,10,11,2,7,5,4,46,1
1,7,94,39,41,14,2,7,3,4,46,1
1,7,94,39,41,0,2,7,3,4,46,1
1,7,94,39,41,2,2,7,3,4,46,1
1,7,18,39,7,39,1,7,12,8,46,1
1,7,18,39,7,33,1,7,12,8,46,1
1,7,75,39,41,24,2,35,12,4,46,1
1,9,115,39,7,39,2,7,31,4,46,1
1,9,126,40,7,33,2,7,5,4,46,1
1,9,45,17,7,33,1,4,19,4,46,1
1,9,136,51,19,39,1,7,31,4,46,1
1,9,33,51,7,39,1,7,6,8,46,1
1,9,84,51,36,33,1,4,19,12,46,1
1,12,2,47,7,13,2,7,6,4,46,1
1,12,2,47,7,39,2,7,6,4,46,1
1,12,2,47,7,31,2,7,6,4,46,1
1,12,89,15,7,28,2,18,31,4,46,1
1,12,89,15,7,19,2,18,31,4,46,1
1,12,47,49,7,13,1,7,6,4,46,1
1,12,47,49,7,14,1,7,6,4,46,1
1,12,76,50,7,39,1,7,6,4,46,1
1,12,76,50,7,6,1,7,6,4,46,1
1,12,74,48,7,13,1,4,19,4,46,1
1,12,74,48,7,42,1,4,19,4,46,1
1,12,111,49,7,33,2,7,6,4,46,1
1,12,111,49,7,39,2,7,6,4,46,1
1,12,140,2,7,13,2,7,6,4,46,1
1,12,140,2,7,14,2,7,6,4,46,1
1,8,126,40,36,39,1,7,3,4,46,1
1,8,135,51,7,13,1,4,1,12,46,1
1,8,46,17,49,33,1,15,19,12,46,1
1,8,54,40,9,6,2,18,9,4,46,1
1,1,26,39,7,39,1,7,3,4,46,1
1,1,32,40,7,33,1,7,31,4,46,1
